#,NACE,Sector,Activity number,Activity ,Objective,SCC/DNSH,Attributes,Values
61,A2,Forestry,1.1,Afforestation,CCM/CCA,DNSH,Pollution prevention,Minimises use of fertiliser and does not use manure
62,A2,Forestry,1.1,Afforestation,CCM/CCA,DNSH,Pollution prevention,Documented and verifiable measures to avoid use of specific ingredients
63,A2,Forestry,1.1,Afforestation,CCM/CCA,DNSH,Pollution prevention,Prevention of pollution of water and soil
64,A2,Forestry,1.1,Afforestation,CCM/CCA,DNSH,Biodiversity,"In areas designated for conservation or protection, activity is in accordance with conservation objectives"
65,A2,Forestry,1.1,Afforestation,CCM/CCA,DNSH,Biodiversity,"No conversion of habitats specifically sensitive to biodiversity loss or high conservation value, or of areas set aside for restoration of such habitats"
66,A2,Forestry,1.1,Afforestation,CCM/CCA,DNSH,Biodiversity,Afforestation or forest management plans information on DNSH include provisions for maintaining and possibly enhancing biodiversity
67,A2,Forestry,1.1,Afforestation,CCM/CCA,DNSH,Biodiversity,Afforestation or forest management plans information on DNSH includes ensuring good conseration status of habitat and species
68,A2,Forestry,1.1,Afforestation,CCM/CCA,DNSH,Biodiversity,Afforestation or forest management plans information on DNSH includes excluding the use or release of invasive alien species
69,A2,Forestry,1.1,Afforestation,CCM/CCA,DNSH,Biodiversity,Afforestation or forest management plans information on DNSH includes excluding the use of non-native species unless certain favorable criteria are met
70,A2,Forestry,1.1,Afforestation,CCA,SCC,Activity Requirements,The economic activity has implemented physical and non-physical solutions that substantially reduce the most important physical climate risks
71,A2,Forestry,1.1,Afforestation,CCA,SCC,Climate risk assessment criteria,Identification of physical climate risks material to the activity has been conducted on the basis of Appendix A
72,A2,Forestry,1.1,Afforestation,CCA,SCC,Climate risk assessment criteria,Climate risk assessment is proportionate to the scale of the activity and its expected lifespan
73,A2,Forestry,1.1,Afforestation,CCA,SCC,Climate risk assessment criteria,Climate projections and assessment of impacts are based on best practice and available guidance
74,A2,Forestry,1.1,Afforestation,CCA,SCC,Adaptation solution requirements,"Do not adversely affect the adaptation efforts or level of resilience to physical climate risk of other people, of nature, of cultural heritage, of assets and of other economic activities"
75,A2,Forestry,1.1,Afforestation,CCA,SCC,Adaptation solution requirements,Favor nature-based solutions or rely on blue or green infrastructure to the extent possible
76,A2,Forestry,1.1,Afforestation,CCA,SCC,Adaptation solution requirements,"Are consistent with local, sectoral, regional or national adaptation plans and strategies"
77,A2,Forestry,1.1,Afforestation,CCA,SCC,Adaptation solution requirements,Are monitored and measured against pre-defined indicators and remedial action is considered where those indicators are not met
78,A2,Forestry,1.1,Afforestation,CCA,SCC,Adaptation solution requirements,"Where the solution implemented is physical and consists in an activity for which technical screening criteria have been specified in this Annex, the solution complies with the do no significant harm technical screening criteria for that activity"
79,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCM,SCC,Forest management plan,Forest area is covered by a forest management plan
80,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCM,SCC,Forest plan criteria,Duration of at least ten years or more
81,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCM,SCC,Forest plan criteria,Continously updated
82,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCM,SCC,Forest plan contents,Management goals and constraints
83,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCM,SCC,Forest plan contents,Strategy and activities to reach management goals
84,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCM,SCC,Forest plan contents,Forest habitat context
85,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCM,SCC,Forest plan contents,Public accesses and physical features
86,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCM,SCC,Forest plan contents,Measures deployed to establish and maintain good conditions and ecosystem
87,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCM,SCC,Forest plan contents,Consideration of societal issues
88,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCM,SCC,Forest plan contents,"Assessment of forest related risks (forest fires, etc.)"
89,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCM,SCC,Forest plan contents,All DNSH criteria related to afforestation
90,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCM,SCC,Forest plan criteria,"Forest management system matches the applicable national definition of sustainable forest management, Forest Europe definition or forest sustainablity criteria Article 29(6) of Directive (EU) 2018/2001"
91,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCM,SCC,Activity requirements,No degradation of land with high carbon stock
92,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCM,SCC,Activity requirements,Management system complies with dd. obligation and legality requirements
93,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCM,SCC,Forest plan criteria,Provide for monitoring that ensures correctness of the information
94,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCM,SCC,Activity requirements,Area complies with requirements at forest sourcing area level to ensure carbon stocks and sinks levels are maintained and strengthened
95,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCM,SCC,GHG emissions,Total GHG emissions
96,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCM,SCC,GHG removal,Total GHG removal
97,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCM,SCC,Net balance GHG,"Net balance of GHG is lower than a baseline over a period of 30 years, corresponding to business-as-usual"
98,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCM,SCC,Activity requirement,Long-term benefits are demonstrated by proof of alignment
99,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCM,SCC,Long-term (100 years or lifecycle) net balance of GHG emisssions,Long-term average net GHG balance
100,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCM,SCC,Long-term (100 years or lifecycle) net balance of GHG emisssions,Long-term net balance of GHG emissions are lower than the baseline
101,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCM,SCC,Calculation of climate benefit criteria,Analysis complient with guidelines
102,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCM,SCC,Calculation of climate benefit criteria,Specific calculaton criterias
103,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCM,SCC,Business-as-usual information,Business-as-usual practices are the management practices as documented in the latest version of the forest management plan or equivalent
104,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCM,SCC,Business-as-usual information,Business-as-usual practicesis the most recent business-as-usual before start of activity
105,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCM,SCC,Business-as-usual information,Practices corresponding to a management ensuring carbon stocks and sinks levels are maintained or strengthened
106,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCM,SCC,Forest holding size,Size of forest holding
107,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCM,SCC,Forest holding size,Forest holding area is under 13ha
108,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCM,SCC,Forest status of the area,"Classified in the permanent forest estate, classified as a protected area, or is subject to a guarantee ensuring it will remain a forest"
109,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCM,SCC,Activity operator requirements,Operator commits that future updates will conture to seek the climate benefits determined in point 2
110,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCM,SCC,Activity operator requirements,Operator commits to compensate any reduction in the climate benefit determined in point 2.
111,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCM,SCC,Start date,Start date of activity
112,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCM,SCC,Third party validation,Within two years after the start date of the activity and every 10 years thereafter
113,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCM,SCC,Verification subjects,"Relevant national competent authorities, or independent third-party certifier"
114,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCM,SCC,Compliance assessment,Compliance with ssc and dnsh criteria may be checked at the level of the forest sourcing area
115,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCM,SCC,Compliance assessment,Compliance with ssc and dnsh criteria may be checked at the level of a group of holdings sufficiently homogeneous to evaluate the risk of the sustainability of the forest activity
116,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCM,DNSH,Climate adaptation,Appendix A
117,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCM/CCA,DNSH,Water,Appendix B
118,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCM/CCA,DNSH,Circular Economy,The silvicultural change induced by the activity on the area covered by the activity is not likely to result in a significant reduction of sustainable supply of primary forest biomass suitable for the manufacturing of wood products with long-term circularity potential.
119,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCM/CCA,DNSH,Pollution prevention,The use of pesticides is reduced
120,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCM/CCA,DNSH,Pollution prevention,Minimises use of fertiliser and does not use manure
121,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCM/CCA,DNSH,Pollution prevention,Documented and verifiable measures to avoid use of specific ingredients
122,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCM/CCA,DNSH,Pollution prevention,Prevention of pollution of water and soil
123,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCM/CCA,DNSH,Biodiversity,"In areas designated for conservation or protection, activity is in accordance with conservation objectives"
124,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCM/CCA,DNSH,Biodiversity,"No conversion of habitats specifically sensitive to biodiversity loss or high conservation value, or of areas set aside for restoration of such habitats"
125,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCM/CCA,DNSH,Biodiversity,Afforestation or forest management plans information on DNSH include provisions for maintaining and possibly enhancing biodiversity
126,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCM/CCA,DNSH,Biodiversity,Afforestation or forest management plans information on DNSH includes ensuring good conseration status of habitat and species
127,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCM/CCA,DNSH,Biodiversity,Afforestation or forest management plans information on DNSH includesexcluding the use or release of invasive alien species
128,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCM/CCA,DNSH,Biodiversity,Afforestation or forest management plans information on DNSH includes excluding the use of non-native species unless certain favorable criteria are met
129,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCA,SCC,Activity Requirements,The economic activity has implemented physical and non-physical solutions that substantially reduce the most important physical climate risks
130,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCA,SCC,Climate risk assessment criteria,Identification of physical climate risks material to the activity has been conducted on the basis of Appendix A
131,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCA,SCC,Climate risk assessment criteria,Climate risk assessment is proportionate to the scale of the activity and its expected lifespan
132,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCA,SCC,Climate risk assessment criteria,Climate projections and assessment of impacts are based on best practice and available guidance
133,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCA,SCC,Adaptation solution requirements,"Do not adversely affect the adaptation efforts or level of resilience to physical climate risk of other people, of nature, of cultural heritage, of assets and of other economic activities"
134,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCA,SCC,Adaptation solution requirements,Favor nature-based solutions or rely on blue or green infrastructure to the extent possible
135,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCA,SCC,Adaptation solution requirements,"are consistent with local, sectoral, regional or national adaptation plans and strategies"
136,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCA,SCC,Adaptation solution requirements,are monitored and measured against pre-defined indicators and remedial action is considered where those indicators are not met
137,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCA,SCC,Adaptation solution requirements,"Where the solution implemented is physical and consists in an activity for which technical screening criteria have been specified in this Annex, the solution complies with the do no significant harm technical screening criteria for that activity"
138,A2,Forestry,1.2,"Rehabalitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",CCM/CCA,SCC,Adaptation solution requirements,The silvicultural change induced by the activity on the area covered by the activity is not likely to result in a significant reduction of sustainable supply of primary forest biomass suitable for the manufacturing of wood products with long-term circularity potential.
139,A2,Forestry,1.3,Forest Management,CCM,SCC,Forest management plan,Forest area is covered by a forest management plan
140,A2,Forestry,1.3,Forest Management,CCM,SCC,Forest plan criteria,Duration of at least ten years or more
141,A2,Forestry,1.3,Forest Management,CCM,SCC,Forest plan criteria,Continously updated
142,A2,Forestry,1.3,Forest Management,CCM,SCC,Forest plan contents,Management goals and constraints
143,A2,Forestry,1.3,Forest Management,CCM,SCC,Forest plan contents,Strategy and activities to reach management goals
144,A2,Forestry,1.3,Forest Management,CCM,SCC,Forest plan contents,Forest habitat context
145,A2,Forestry,1.3,Forest Management,CCM,SCC,Forest plan contents,Public accesses and physical features
146,A2,Forestry,1.3,Forest Management,CCM,SCC,Forest plan contents,Measures deployed to establish and maintain good conditions and ecosystem
147,A2,Forestry,1.3,Forest Management,CCM,SCC,Forest plan contents,Consideration of societal issues
148,A2,Forestry,1.3,Forest Management,CCM,SCC,Forest plan contents,"Assessment of forest related risks (forest fires, etc.)"
149,A2,Forestry,1.3,Forest Management,CCM,SCC,Forest plan contents,All DNSH criteria related to afforestation
150,A2,Forestry,1.3,Forest Management,CCM,SCC,Forest plan criteria,"Forest management system matches the applicable national definition of sustainable forest management, Forest Europe definition or forest sustainablity criteria Article 29(6) of Directive (EU) 2018/2001"
151,A2,Forestry,1.3,Forest Management,CCM,SCC,Activity requirements,No degradation of land with high carbon stock
152,A2,Forestry,1.3,Forest Management,CCM,SCC,Activity requirements,Management system complies with dd. obligation and legality requirements
153,A2,Forestry,1.3,Forest Management,CCM,SCC,Forest plan criteria,Provide for monitoring that ensures correctness of the information
154,A2,Forestry,1.3,Forest Management,CCM,SCC,Activity requirements,Area complies with requirements at forest sourcing area level to ensure carbon stocks and sinks levels are maintained and strengthened
155,A2,Forestry,1.3,Forest Management,CCM,SCC,GHG emissions,Total GHG emissions
156,A2,Forestry,1.3,Forest Management,CCM,SCC,GHG removal,Total GHG removal
157,A2,Forestry,1.3,Forest Management,CCM,SCC,Net balance GHG,"Net balance of GHG is lower than a baseline over a period of 30 years, corresponding to business-as-usual"
158,A2,Forestry,1.3,Forest Management,CCM,SCC,Activity requirement,Long-term benefits are demonstrated by proof of alignment
159,A2,Forestry,1.3,Forest Management,CCM,SCC,Long-term (100 years or lifecycle) net balance of GHG emisssions,Long-term average net GHG balance
160,A2,Forestry,1.3,Forest Management,CCM,SCC,Long-term (100 years or lifecycle) net balance of GHG emisssions,Long-term net balance of GHG emissions are lower than the baseline
161,A2,Forestry,1.3,Forest Management,CCM,SCC,Calculation of climate benefit criteria,Analysis complient with guidelines
162,A2,Forestry,1.3,Forest Management,CCM,SCC,Calculation of climate benefit criteria,Specific calculaton criterias
163,A2,Forestry,1.3,Forest Management,CCM,SCC,Business-as-usual information,Business-as-usual practices are the management practices as documented in the latest version of the forest management plan or equivalent
164,A2,Forestry,1.3,Forest Management,CCM,SCC,Business-as-usual information,Business-as-usual practicesis the most recent business-as-usual before start of activity
165,A2,Forestry,1.3,Forest Management,CCM,SCC,Business-as-usual information,Practices corresponding to a management ensuring carbon stocks and sinks levels are maintained or strengthened
166,A2,Forestry,1.3,Forest Management,CCM,SCC,Forest holding size,Size of forest holding
167,A2,Forestry,1.3,Forest Management,CCM,SCC,Forest holding size,Forest holding area is under 13ha
168,A2,Forestry,1.3,Forest Management,CCM,SCC,Forest status of the area,"Classified in the permanent forest estate, classified as a protected area, or is subject to a guarantee ensuring it will remain a forest"
169,A2,Forestry,1.3,Forest Management,CCM,SCC,Activity operator requirements,Operator commits that future updates will conture to seek the climate benefits determined in point 2
170,A2,Forestry,1.3,Forest Management,CCM,SCC,Activity operator requirements,Operator commits to compensate any reduction in the climate benefit determined in point 2.
171,A2,Forestry,1.3,Forest Management,CCM,SCC,Start date,Start date of activity
172,A2,Forestry,1.3,Forest Management,CCM,SCC,Third party validation,Within two years after the start date of the activity and every 10 years thereafter
173,A2,Forestry,1.3,Forest Management,CCM,SCC,Verification subjects,"Relevant national competent authorities, or independent third-party certifier"
174,A2,Forestry,1.3,Forest Management,CCM,SCC,Compliance assessment,Compliance with ssc and dnsh criteria may be checked at the level of the forest sourcing area
175,A2,Forestry,1.3,Forest Management,CCM,SCC,Compliance assessment,Compliance with ssc and dnsh criteria may be checked at the level of a group of holdings sufficiently homogeneous to evaluate the risk of the sustainability of the forest activity
176,A2,Forestry,1.3,Forest Management,CCM/CCA,DNSH,Climate adaptation,Appendix A
177,A2,Forestry,1.3,Forest Management,CCM/CCA,DNSH,Water,Appendix B
178,A2,Forestry,1.3,Forest Management,CCM/CCA,DNSH,Circular Economy,The silvicultural change induced by the activity on the area covered by the activity is not likely to result in a significant reduction of sustainable supply of primary forest biomass suitable for the manufacturing of wood products with long-term circularity potential.
179,A2,Forestry,1.3,Forest Management,CCM/CCA,DNSH,Pollution prevention,The use of pesticides is reduced
180,A2,Forestry,1.3,Forest Management,CCM/CCA,DNSH,Pollution prevention,Minimises use of fertiliser and does not use manure
181,A2,Forestry,1.3,Forest Management,CCM/CCA,DNSH,Pollution prevention,Documented and verifiable measures to avoid use of specific ingredients
182,A2,Forestry,1.3,Forest Management,CCM/CCA,DNSH,Pollution prevention,Prevention of pollution of water and soil
183,A2,Forestry,1.3,Forest Management,CCM/CCA,DNSH,Biodiversity,"In areas designated for conservation or protection, activity is in accordance with conservation objectives"
184,A2,Forestry,1.3,Forest Management,CCM/CCA,DNSH,Biodiversity,"No conversion of habitats specifically sensitive to biodiversity loss or high conservation value, or of areas set aside for restoration of such habitats"
185,A2,Forestry,1.3,Forest Management,CCM/CCA,DNSH,Biodiversity,Afforestation or forest management plans information on DNSH include provisions for maintaining and possibly enhancing biodiversity
186,A2,Forestry,1.3,Forest Management,CCM/CCA,DNSH,Biodiversity,Afforestation or forest management plans information on DNSH includes ensuring good conseration status of habitat and species
187,A2,Forestry,1.3,Forest Management,CCM/CCA,DNSH,Biodiversity,Afforestation or forest management plans information on DNSH includesexcluding the use or release of invasive alien species
188,A2,Forestry,1.3,Forest Management,CCM/CCA,DNSH,Biodiversity,Afforestation or forest management plans information on DNSH includes excluding the use of non-native species unless certain favorable criteria are met
189,A2,Forestry,1.3,Forest Management,CCA,SCC,Activity Requirements,The economic activity has implemented physical and non-physical solutions that substantially reduce the most important physical climate risks
190,A2,Forestry,1.3,Forest Management,CCA,SCC,Climate risk assessment criteria,Identification of physical climate risks material to the activity has been conducted on the basis of Appendix A
191,A2,Forestry,1.3,Forest Management,CCA,SCC,Climate risk assessment criteria,Climate risk assessment is proportionate to the scale of the activity and its expected lifespan
192,A2,Forestry,1.3,Forest Management,CCA,SCC,Climate risk assessment criteria,Climate projections and assessment of impacts are based on best practice and available guidance
193,A2,Forestry,1.3,Forest Management,CCA,SCC,Adaptation solution requirements,"Do not adversely affect the adaptation efforts or level of resilience to physical climate risk of other people, of nature, of cultural heritage, of assets and of other economic activities"
