Geographies,Framework,Framework Sub-Category,Industry,Sector,ProductCategories_AssetClasses,Applicable Asset_Class (Short Name),Applicable Sub-Asset_Class
Global,IFRS/ISSB (inc CDSB+VRF),,Consumer,Consumer Products,(TBC),(TBC),(TBC)
Global,IFRS/ISSB (inc CDSB+VRF),,Government & Public Services,"Defence, Security & Justice",(TBC),(TBC),(TBC)
Global,IFRS/ISSB (inc CDSB+VRF),,"Energy, Resources & Industrials",Energy & Chemicals,(TBC),(TBC),(TBC)
Global,IFRS/ISSB (inc CDSB+VRF),,Government & Public Services,Health & Human Services,(TBC),(TBC),(TBC)
Global,IFRS/ISSB (inc CDSB+VRF),,Life Sciences & Health Care,Health Care,(TBC),(TBC),(TBC)
Global,IFRS/ISSB (inc CDSB+VRF),,"Energy, Resources & Industrials",Industrial Products & Construction,(TBC),(TBC),(TBC)
Global,IFRS/ISSB (inc CDSB+VRF),,Government & Public Services,"Infrastructure, Transport & Regional Government",(TBC),(TBC),(TBC)
Global,IFRS/ISSB (inc CDSB+VRF),,Life Sciences & Health Care,Life Sciences,(TBC),(TBC),(TBC)
Global,IFRS/ISSB (inc CDSB+VRF),,"Energy, Resources & Industrials",Mining & Metals,(TBC),(TBC),(TBC)
Global,IFRS/ISSB (inc CDSB+VRF),,"Energy, Resources & Industrials","Power, Utilities & Renewables",(TBC),(TBC),(TBC)
Global,IFRS/ISSB (inc CDSB+VRF),,Consumer,"Retail, Wholesale & Distribution",(TBC),(TBC),(TBC)
Global,IFRS/ISSB (inc CDSB+VRF),,"Tech, Media & Telecom",Technology,(TBC),(TBC),(TBC)
Global,IFRS/ISSB (inc CDSB+VRF),,"Tech, Media & Telecom","Telecommunication, Media & Entertainment",(TBC),(TBC),(TBC)
Global,IFRS/ISSB (inc CDSB+VRF),,Consumer,"Transport, Hospitality & Services",(TBC),(TBC),(TBC)
Global,TCFD,,Financial Services,Banking & Capital Markets,(TBC),(TBC),(TBC)
Global,TCFD,,Financial Services,Fintech & Alternative Finance,(TBC),(TBC),(TBC)
Global,TCFD,,Financial Services,Insurance,(TBC),(TBC),(TBC)
Global,TCFD,,Financial Services,"Investment, Assets and Wealth",(TBC),(TBC),(TBC)
Global,TCFD,,Financial Services,Real Estate,(TBC),(TBC),(TBC)
Global,TCFD,,Consumer,Automotive,(TBC),(TBC),(TBC)
Global,TCFD,,Government & Public Services,Central Government,(TBC),(TBC),(TBC)
Global,TCFD,,Consumer,Consumer Products,(TBC),(TBC),(TBC)
Global,TCFD,,Government & Public Services,"Defence, Security & Justice",(TBC),(TBC),(TBC)
Global,TCFD,,"Energy, Resources & Industrials",Energy & Chemicals,(TBC),(TBC),(TBC)
Global,TCFD,,Government & Public Services,Health & Human Services,(TBC),(TBC),(TBC)
Global,TCFD,,Life Sciences & Health Care,Health Care,(TBC),(TBC),(TBC)
Global,TCFD,,"Energy, Resources & Industrials",Industrial Products & Construction,(TBC),(TBC),(TBC)
Global,TCFD,,Government & Public Services,"Infrastructure, Transport & Regional Government",(TBC),(TBC),(TBC)
Global,TCFD,,Life Sciences & Health Care,Life Sciences,(TBC),(TBC),(TBC)
Global,TCFD,,"Energy, Resources & Industrials",Mining & Metals,(TBC),(TBC),(TBC)
Global,TCFD,,"Energy, Resources & Industrials","Power, Utilities & Renewables",(TBC),(TBC),(TBC)
Global,TCFD,,Consumer,"Retail, Wholesale & Distribution",(TBC),(TBC),(TBC)
Global,TCFD,,"Tech, Media & Telecom",Technology,(TBC),(TBC),(TBC)
Global,TCFD,,"Tech, Media & Telecom","Telecommunication, Media & Entertainment",(TBC),(TBC),(TBC)
Global,TCFD,,Consumer,"Transport, Hospitality & Services",(TBC),(TBC),(TBC)
Global,TNFD,,Financial Services,Banking & Capital Markets,(TBC),(TBC),(TBC)
Global,TNFD,,Financial Services,Fintech & Alternative Finance,(TBC),(TBC),(TBC)
Global,TNFD,,Financial Services,Insurance,(TBC),(TBC),(TBC)
Global,TNFD,,Financial Services,"Investment, Assets and Wealth",(TBC),(TBC),(TBC)
Global,TNFD,,Financial Services,Real Estate,(TBC),(TBC),(TBC)
Global,TNFD,,Consumer,Automotive,(TBC),(TBC),(TBC)
Global,TNFD,,Government & Public Services,Central Government,(TBC),(TBC),(TBC)
Global,TNFD,,Consumer,Consumer Products,(TBC),(TBC),(TBC)
Global,TNFD,,Government & Public Services,"Defence, Security & Justice",(TBC),(TBC),(TBC)
Global,TNFD,,"Energy, Resources & Industrials",Energy & Chemicals,(TBC),(TBC),(TBC)
Global,TNFD,,Government & Public Services,Health & Human Services,(TBC),(TBC),(TBC)
Global,TNFD,,Life Sciences & Health Care,Health Care,(TBC),(TBC),(TBC)
Global,TNFD,,"Energy, Resources & Industrials",Industrial Products & Construction,(TBC),(TBC),(TBC)
Global,TNFD,,Government & Public Services,"Infrastructure, Transport & Regional Government",(TBC),(TBC),(TBC)
Global,TNFD,,Life Sciences & Health Care,Life Sciences,(TBC),(TBC),(TBC)
Global,TNFD,,"Energy, Resources & Industrials",Mining & Metals,(TBC),(TBC),(TBC)
Global,TNFD,,"Energy, Resources & Industrials","Power, Utilities & Renewables",(TBC),(TBC),(TBC)
Global,TNFD,,Consumer,"Retail, Wholesale & Distribution",(TBC),(TBC),(TBC)
Global,TNFD,,"Tech, Media & Telecom",Technology,(TBC),(TBC),(TBC)
Global,TNFD,,"Tech, Media & Telecom","Telecommunication, Media & Entertainment",(TBC),(TBC),(TBC)
Global,TNFD,,Consumer,"Transport, Hospitality & Services",(TBC),(TBC),(TBC)
UK,IFRS/ISSB (inc CDSB+VRF),,Financial Services,Banking & Capital Markets,(TBC),(TBC),(TBC)
UK,IFRS/ISSB (inc CDSB+VRF),,Financial Services,Fintech & Alternative Finance,(TBC),(TBC),(TBC)
UK,IFRS/ISSB (inc CDSB+VRF),,Financial Services,Insurance,(TBC),(TBC),(TBC)
UK,IFRS/ISSB (inc CDSB+VRF),,Financial Services,"Investment, Assets and Wealth",(TBC),(TBC),(TBC)
UK,IFRS/ISSB (inc CDSB+VRF),,Financial Services,Real Estate,(TBC),(TBC),(TBC)
UK,IFRS/ISSB (inc CDSB+VRF),,Consumer,Automotive,(TBC),(TBC),(TBC)
UK,IFRS/ISSB (inc CDSB+VRF),,Government & Public Services,Central Government,(TBC),(TBC),(TBC)
UK,IFRS/ISSB (inc CDSB+VRF),,Consumer,Consumer Products,(TBC),(TBC),(TBC)
UK,IFRS/ISSB (inc CDSB+VRF),,Government & Public Services,"Defence, Security & Justice",(TBC),(TBC),(TBC)
UK,IFRS/ISSB (inc CDSB+VRF),,"Energy, Resources & Industrials",Energy & Chemicals,(TBC),(TBC),(TBC)
UK,IFRS/ISSB (inc CDSB+VRF),,Government & Public Services,Health & Human Services,(TBC),(TBC),(TBC)
UK,IFRS/ISSB (inc CDSB+VRF),,Life Sciences & Health Care,Health Care,(TBC),(TBC),(TBC)
UK,IFRS/ISSB (inc CDSB+VRF),,"Energy, Resources & Industrials",Industrial Products & Construction,(TBC),(TBC),(TBC)
UK,IFRS/ISSB (inc CDSB+VRF),,Government & Public Services,"Infrastructure, Transport & Regional Government",(TBC),(TBC),(TBC)
UK,IFRS/ISSB (inc CDSB+VRF),,Life Sciences & Health Care,Life Sciences,(TBC),(TBC),(TBC)
UK,IFRS/ISSB (inc CDSB+VRF),,"Energy, Resources & Industrials",Mining & Metals,(TBC),(TBC),(TBC)
UK,IFRS/ISSB (inc CDSB+VRF),,"Energy, Resources & Industrials","Power, Utilities & Renewables",(TBC),(TBC),(TBC)
UK,IFRS/ISSB (inc CDSB+VRF),,Consumer,"Retail, Wholesale & Distribution",(TBC),(TBC),(TBC)
UK,IFRS/ISSB (inc CDSB+VRF),,"Tech, Media & Telecom",Technology,(TBC),(TBC),(TBC)
UK,IFRS/ISSB (inc CDSB+VRF),,"Tech, Media & Telecom","Telecommunication, Media & Entertainment",(TBC),(TBC),(TBC)
UK,IFRS/ISSB (inc CDSB+VRF),,Consumer,"Transport, Hospitality & Services",(TBC),(TBC),(TBC)
UK,SDR,,Financial Services,Banking & Capital Markets,(TBC),(TBC),(TBC)
UK,SDR,,Financial Services,Fintech & Alternative Finance,(TBC),(TBC),(TBC)
UK,SDR,,Financial Services,Insurance,(TBC),(TBC),(TBC)
UK,SDR,,Financial Services,"Investment, Assets and Wealth",(TBC),(TBC),(TBC)
UK,SDR,,Financial Services,Real Estate,(TBC),(TBC),(TBC)
UK,TCFD,,Financial Services,Banking & Capital Markets,(TBC),(TBC),(TBC)
UK,TCFD,,Financial Services,Fintech & Alternative Finance,(TBC),(TBC),(TBC)
UK,TCFD,,Financial Services,Insurance,(TBC),(TBC),(TBC)
UK,TCFD,,Financial Services,"Investment, Assets and Wealth",(TBC),(TBC),(TBC)
UK,TCFD,,Financial Services,Real Estate,(TBC),(TBC),(TBC)
UK,TCFD,,Consumer,Automotive,(TBC),(TBC),(TBC)
UK,TCFD,,Government & Public Services,Central Government,(TBC),(TBC),(TBC)
UK,TCFD,,Consumer,Consumer Products,(TBC),(TBC),(TBC)
UK,TCFD,,Government & Public Services,"Defence, Security & Justice",(TBC),(TBC),(TBC)
UK,TCFD,,"Energy, Resources & Industrials",Energy & Chemicals,(TBC),(TBC),(TBC)
UK,TCFD,,Government & Public Services,Health & Human Services,(TBC),(TBC),(TBC)
UK,TCFD,,Life Sciences & Health Care,Health Care,(TBC),(TBC),(TBC)
UK,TCFD,,"Energy, Resources & Industrials",Industrial Products & Construction,(TBC),(TBC),(TBC)
UK,TCFD,,Government & Public Services,"Infrastructure, Transport & Regional Government",(TBC),(TBC),(TBC)
UK,TCFD,,Life Sciences & Health Care,Life Sciences,(TBC),(TBC),(TBC)
UK,TCFD,,"Energy, Resources & Industrials",Mining & Metals,(TBC),(TBC),(TBC)
UK,TCFD,,"Energy, Resources & Industrials","Power, Utilities & Renewables",(TBC),(TBC),(TBC)
UK,TCFD,,Consumer,"Retail, Wholesale & Distribution",(TBC),(TBC),(TBC)
UK,TCFD,,"Tech, Media & Telecom",Technology,(TBC),(TBC),(TBC)
UK,TCFD,,"Tech, Media & Telecom","Telecommunication, Media & Entertainment",(TBC),(TBC),(TBC)
UK,TCFD,,Consumer,"Transport, Hospitality & Services",(TBC),(TBC),(TBC)
UK,TNFD,,Financial Services,Fintech & Alternative Finance,(TBC),(TBC),(TBC)
UK,TNFD,,Financial Services,Banking & Capital Markets,(TBC),(TBC),(TBC)
UK,TNFD,,Financial Services,Insurance,(TBC),(TBC),(TBC)
UK,TNFD,,Financial Services,"Investment, Assets and Wealth",(TBC),(TBC),(TBC)
UK,TNFD,,Financial Services,Real Estate,(TBC),(TBC),(TBC)
UK,TNFD,,Consumer,Automotive,(TBC),(TBC),(TBC)
UK,TNFD,,Government & Public Services,Central Government,(TBC),(TBC),(TBC)
UK,TNFD,,Consumer,Consumer Products,(TBC),(TBC),(TBC)
UK,TNFD,,Government & Public Services,"Defence, Security & Justice",(TBC),(TBC),(TBC)
UK,TNFD,,"Energy, Resources & Industrials",Energy & Chemicals,(TBC),(TBC),(TBC)
UK,TNFD,,Government & Public Services,Health & Human Services,(TBC),(TBC),(TBC)
UK,TNFD,,Life Sciences & Health Care,Health Care,(TBC),(TBC),(TBC)
UK,TNFD,,"Energy, Resources & Industrials",Industrial Products & Construction,(TBC),(TBC),(TBC)
UK,TNFD,,Government & Public Services,"Infrastructure, Transport & Regional Government",(TBC),(TBC),(TBC)
UK,TNFD,,Life Sciences & Health Care,Life Sciences,(TBC),(TBC),(TBC)
UK,TNFD,,"Energy, Resources & Industrials",Mining & Metals,(TBC),(TBC),(TBC)
UK,TNFD,,"Energy, Resources & Industrials","Power, Utilities & Renewables",(TBC),(TBC),(TBC)
UK,TNFD,,Consumer,"Retail, Wholesale & Distribution",(TBC),(TBC),(TBC)
UK,TNFD,,"Tech, Media & Telecom",Technology,(TBC),(TBC),(TBC)
UK,TNFD,,"Tech, Media & Telecom","Telecommunication, Media & Entertainment",(TBC),(TBC),(TBC)
UK,TNFD,,Consumer,"Transport, Hospitality & Services",(TBC),(TBC),(TBC)
UK,UK Taxonomy,,Financial Services,Banking & Capital Markets,(TBC),(TBC),(TBC)
UK,UK Taxonomy,,Financial Services,Fintech & Alternative Finance,(TBC),(TBC),(TBC)
UK,UK Taxonomy,,Financial Services,Insurance,(TBC),(TBC),(TBC)
UK,UK Taxonomy,,Financial Services,"Investment, Assets and Wealth",(TBC),(TBC),(TBC)
UK,UK Taxonomy,,Financial Services,Real Estate,(TBC),(TBC),(TBC)
UK,UK Taxonomy,,Consumer,Automotive,(TBC),(TBC),(TBC)
UK,UK Taxonomy,,Government & Public Services,Central Government,(TBC),(TBC),(TBC)
UK,UK Taxonomy,,Consumer,Consumer Products,(TBC),(TBC),(TBC)
UK,UK Taxonomy,,Government & Public Services,"Defence, Security & Justice",(TBC),(TBC),(TBC)
UK,UK Taxonomy,,"Energy, Resources & Industrials",Energy & Chemicals,(TBC),(TBC),(TBC)
UK,UK Taxonomy,,Government & Public Services,Health & Human Services,(TBC),(TBC),(TBC)
UK,UK Taxonomy,,Life Sciences & Health Care,Health Care,(TBC),(TBC),(TBC)
UK,UK Taxonomy,,"Energy, Resources & Industrials",Industrial Products & Construction,(TBC),(TBC),(TBC)
UK,UK Taxonomy,,Government & Public Services,"Infrastructure, Transport & Regional Government",(TBC),(TBC),(TBC)
UK,UK Taxonomy,,Life Sciences & Health Care,Life Sciences,(TBC),(TBC),(TBC)
UK,UK Taxonomy,,"Energy, Resources & Industrials",Mining & Metals,(TBC),(TBC),(TBC)
UK,UK Taxonomy,,"Energy, Resources & Industrials","Power, Utilities & Renewables",(TBC),(TBC),(TBC)
UK,UK Taxonomy,,Consumer,"Retail, Wholesale & Distribution",(TBC),(TBC),(TBC)
UK,UK Taxonomy,,"Tech, Media & Telecom",Technology,(TBC),(TBC),(TBC)
UK,UK Taxonomy,,"Tech, Media & Telecom","Telecommunication, Media & Entertainment",(TBC),(TBC),(TBC)
UK,UK Taxonomy,,Consumer,"Transport, Hospitality & Services",(TBC),(TBC),(TBC)
