Geographies,Framework,Framework Sub-Category,Industry,Sector,ProductCategories_AssetClasses,Applicable Asset_Class (Short Name),Applicable Sub-Asset_Class
Europe,Pillar 3,,Financial Services,Banking & Capital Markets,"Investments in subsidiaries, joint ventures and associates","Investments in subsidiaries, joint ventures, and associates","Investments in subsidiaries, joint ventures, and associates"
Europe,Pillar 3,,Financial Services,Banking & Capital Markets,Non-current assets and disposal groups classified as held for sale,Non-current assets for sale,Non-current assets for sale
Europe,Pillar 3,,Financial Services,Banking & Capital Markets,Non-trading financial assets mandatorily at fair value through profit or loss,Mandatorily valued non-trading  assets,Debt securities
Europe,Pillar 3,,Financial Services,Banking & Capital Markets,Non-trading financial assets mandatorily at fair value through profit or loss,Mandatorily valued non-trading  assets,Equity instruments
Europe,Pillar 3,,Financial Services,Banking & Capital Markets,Non-trading financial assets mandatorily at fair value through profit or loss,Mandatorily valued non-trading  assets,Loans and advances
Europe,Pillar 3,,Financial Services,Banking & Capital Markets,Other assets,Other assets,Other assets
Europe,Pillar 3,,Financial Services,Banking & Capital Markets,Tangible assets,Tangible assets,Investment property
Europe,Pillar 3,,Financial Services,Banking & Capital Markets,Tangible assets,Tangible assets,"Property, Plant and Equipment"
Europe,Pillar 3,,Financial Services,"Investment, Assets and Wealth","Cash, cash balances at central banks and other demand deposits",Cash and demand deposits,Cash balances at central banks
Europe,Pillar 3,,Financial Services,"Investment, Assets and Wealth","Cash, cash balances at central banks and other demand deposits",Cash and demand deposits,Cash on hand
Europe,Pillar 3,,Financial Services,"Investment, Assets and Wealth","Cash, cash balances at central banks and other demand deposits",Cash and demand deposits,Other demand deposits
Europe,Pillar 3,,Financial Services,"Investment, Assets and Wealth",Derivatives – Hedge accounting,Hedge accounting derivatives,Hedge accounting derivatives
Europe,Pillar 3,,Financial Services,"Investment, Assets and Wealth",Fair value changes of the hedged items in portfolio hedge of interest rate risk,Hedged items interest rate risk fair value changes,Hedged items interest rate risk fair value changes
Europe,Pillar 3,,Financial Services,"Investment, Assets and Wealth",Financial assets at amortised cost,Amortised cost financial assets,Debt securities
Europe,Pillar 3,,Financial Services,"Investment, Assets and Wealth",Financial assets at amortised cost,Amortised cost financial assets,Loans and advances
Europe,Pillar 3,,Financial Services,"Investment, Assets and Wealth",Financial assets at fair value through other comprehensive income,Financial assets in other  income,Debt securities
Europe,Pillar 3,,Financial Services,"Investment, Assets and Wealth",Financial assets at fair value through other comprehensive income,Financial assets in other  income,Equity instruments
Europe,Pillar 3,,Financial Services,"Investment, Assets and Wealth",Financial assets at fair value through other comprehensive income,Financial assets in other  income,Loans and advances
Europe,Pillar 3,,Financial Services,"Investment, Assets and Wealth",Financial assets designated at fair value through profit or loss,Designated valued financial assets,Debt securities
Europe,Pillar 3,,Financial Services,"Investment, Assets and Wealth",Financial assets designated at fair value through profit or loss,Designated valued financial assets,Loans and advances
Europe,Pillar 3,,Financial Services,"Investment, Assets and Wealth",Financial assets held for trading,Trading financial assets,Debt securities
Europe,Pillar 3,,Financial Services,"Investment, Assets and Wealth",Financial assets held for trading,Trading financial assets,Derivatives
Europe,Pillar 3,,Financial Services,"Investment, Assets and Wealth",Financial assets held for trading,Trading financial assets,Equity instruments
Europe,Pillar 3,,Financial Services,"Investment, Assets and Wealth",Financial assets held for trading,Trading financial assets,Loans and advances
Europe,Pillar 3,,Financial Services,"Investment, Assets and Wealth","Investments in subsidiaries, joint ventures and associates","Investments in subsidiaries, joint ventures, and associates","Investments in subsidiaries, joint ventures, and associates"
Europe,Pillar 3,,Financial Services,"Investment, Assets and Wealth",Non-current assets and disposal groups classified as held for sale,Non-current assets for sale,Non-current assets for sale
Europe,Pillar 3,,Financial Services,"Investment, Assets and Wealth",Non-trading financial assets mandatorily at fair value through profit or loss,Mandatorily valued non-trading  assets,Debt securities
Europe,Pillar 3,,Financial Services,"Investment, Assets and Wealth",Non-trading financial assets mandatorily at fair value through profit or loss,Mandatorily valued non-trading  assets,Equity instruments
Europe,Pillar 3,,Financial Services,"Investment, Assets and Wealth",Non-trading financial assets mandatorily at fair value through profit or loss,Mandatorily valued non-trading  assets,Loans and advances
Europe,Pillar 3,,Financial Services,"Investment, Assets and Wealth",Other assets,Other assets,Other assets
Europe,Pillar 3,,Financial Services,"Investment, Assets and Wealth",Tangible assets,Tangible assets,Investment property
Europe,Pillar 3,,Financial Services,"Investment, Assets and Wealth",Tangible assets,Tangible assets,"Property, Plant and Equipment"
Europe,Pillar 3,,Financial Services,Fintech & Alternative Finance,(TBC),(TBC),(TBC)
Europe,Pillar 3,,Financial Services,Insurance,(TBC),(TBC),(TBC)
Europe,Pillar 3,,Financial Services,Real Estate,(TBC),(TBC),(TBC)
Europe,SFDR,,Financial Services,Banking & Capital Markets,(TBC),(TBC),(TBC)
Europe,SFDR,,Financial Services,Fintech & Alternative Finance,(TBC),(TBC),(TBC)
Europe,SFDR,,Financial Services,Insurance,(TBC),(TBC),(TBC)
Europe,SFDR,,Financial Services,"Investment, Assets and Wealth",(TBC),(TBC),(TBC)
Europe,SFDR,,Financial Services,Real Estate,(TBC),(TBC),(TBC)
Europe,TCFD,,Financial Services,Banking & Capital Markets,(TBC),(TBC),(TBC)
Europe,TCFD,,Financial Services,Fintech & Alternative Finance,(TBC),(TBC),(TBC)
Europe,TCFD,,Financial Services,Insurance,(TBC),(TBC),(TBC)
Europe,TCFD,,Financial Services,"Investment, Assets and Wealth",(TBC),(TBC),(TBC)
Europe,TCFD,,Financial Services,Real Estate,(TBC),(TBC),(TBC)
Europe,TNFD,,Financial Services,Fintech & Alternative Finance,(TBC),(TBC),(TBC)
Europe,TNFD,,Financial Services,Banking & Capital Markets,(TBC),(TBC),(TBC)
Europe,TNFD,,Financial Services,Insurance,(TBC),(TBC),(TBC)
Europe,TNFD,,Financial Services,"Investment, Assets and Wealth",(TBC),(TBC),(TBC)
Europe,TNFD,,Financial Services,Real Estate,(TBC),(TBC),(TBC)
Global,IFRS/ISSB (inc CDSB+VRF),,Financial Services,Banking & Capital Markets,(TBC),(TBC),(TBC)
Global,IFRS/ISSB (inc CDSB+VRF),,Financial Services,Fintech & Alternative Finance,(TBC),(TBC),(TBC)
Global,IFRS/ISSB (inc CDSB+VRF),,Financial Services,Insurance,(TBC),(TBC),(TBC)
Global,IFRS/ISSB (inc CDSB+VRF),,Financial Services,"Investment, Assets and Wealth",(TBC),(TBC),(TBC)
Global,IFRS/ISSB (inc CDSB+VRF),,Financial Services,Real Estate,(TBC),(TBC),(TBC)
Global,TCFD,,Financial Services,Banking & Capital Markets,(TBC),(TBC),(TBC)
Global,TCFD,,Financial Services,Fintech & Alternative Finance,(TBC),(TBC),(TBC)
Global,TCFD,,Financial Services,Insurance,(TBC),(TBC),(TBC)
Global,TCFD,,Financial Services,"Investment, Assets and Wealth",(TBC),(TBC),(TBC)
Global,TCFD,,Financial Services,Real Estate,(TBC),(TBC),(TBC)
Global,TNFD,,Financial Services,Banking & Capital Markets,(TBC),(TBC),(TBC)
Global,TNFD,,Financial Services,Fintech & Alternative Finance,(TBC),(TBC),(TBC)
Global,TNFD,,Financial Services,Insurance,(TBC),(TBC),(TBC)
Global,TNFD,,Financial Services,"Investment, Assets and Wealth",(TBC),(TBC),(TBC)
Global,TNFD,,Financial Services,Real Estate,(TBC),(TBC),(TBC)
UK,IFRS/ISSB (inc CDSB+VRF),,Financial Services,Banking & Capital Markets,(TBC),(TBC),(TBC)
UK,IFRS/ISSB (inc CDSB+VRF),,Financial Services,Fintech & Alternative Finance,(TBC),(TBC),(TBC)
UK,IFRS/ISSB (inc CDSB+VRF),,Financial Services,Insurance,(TBC),(TBC),(TBC)
UK,IFRS/ISSB (inc CDSB+VRF),,Financial Services,"Investment, Assets and Wealth",(TBC),(TBC),(TBC)
UK,IFRS/ISSB (inc CDSB+VRF),,Financial Services,Real Estate,(TBC),(TBC),(TBC)
UK,SDR,,Financial Services,Banking & Capital Markets,(TBC),(TBC),(TBC)
UK,SDR,,Financial Services,Fintech & Alternative Finance,(TBC),(TBC),(TBC)
UK,SDR,,Financial Services,Insurance,(TBC),(TBC),(TBC)
UK,SDR,,Financial Services,"Investment, Assets and Wealth",(TBC),(TBC),(TBC)
UK,SDR,,Financial Services,Real Estate,(TBC),(TBC),(TBC)
UK,TCFD,,Financial Services,Banking & Capital Markets,(TBC),(TBC),(TBC)
UK,TCFD,,Financial Services,Fintech & Alternative Finance,(TBC),(TBC),(TBC)
UK,TCFD,,Financial Services,Insurance,(TBC),(TBC),(TBC)
UK,TCFD,,Financial Services,"Investment, Assets and Wealth",(TBC),(TBC),(TBC)
UK,TCFD,,Financial Services,Real Estate,(TBC),(TBC),(TBC)
UK,TNFD,,Financial Services,Fintech & Alternative Finance,(TBC),(TBC),(TBC)
UK,TNFD,,Financial Services,Banking & Capital Markets,(TBC),(TBC),(TBC)
UK,TNFD,,Financial Services,Insurance,(TBC),(TBC),(TBC)
UK,TNFD,,Financial Services,"Investment, Assets and Wealth",(TBC),(TBC),(TBC)
UK,TNFD,,Financial Services,Real Estate,(TBC),(TBC),(TBC)
UK,UK Taxonomy,,Financial Services,Banking & Capital Markets,(TBC),(TBC),(TBC)
UK,UK Taxonomy,,Financial Services,Fintech & Alternative Finance,(TBC),(TBC),(TBC)
UK,UK Taxonomy,,Financial Services,Insurance,(TBC),(TBC),(TBC)
UK,UK Taxonomy,,Financial Services,"Investment, Assets and Wealth",(TBC),(TBC),(TBC)
UK,UK Taxonomy,,Financial Services,Real Estate,(TBC),(TBC),(TBC)
