Reporting/Assessment Type,NACE,Applicable Sector,Activity,Objective,Attributes,Values
EU Taxonomy Assessment,"F41.1, F41.2, F43",Construction & Real Estate,Construction of new buildings,CCA & DNSH,Energy demand (PED),PED do not exceed the thershold in nearly zero-energy building
EU Taxonomy Assessment,"F41.1, F41.2, F43",Construction & Real Estate,Construction of new buildings,CCM & SCC,EPC,Energy Performane certification
EU Taxonomy Assessment,"F41.1, F41.2, F43",Construction & Real Estate,Construction of new buildings,CCA & DNSH,EPC,Energy Performane certification
EU Taxonomy Assessment,"F41.1, F41.2, F43",Construction & Real Estate,Construction of new buildings,CCM & SCC,"Global Warming Potential (Substantial Contribution Criteria, Mitigation)",The life-cycle Global Warming Potential (GWP) of the building resulting from the construction has been calculated 
EU Taxonomy Assessment,"F41.1, F41.2, F43",Construction & Real Estate,Construction of new buildings,CCA/CCM & DNSH,Pollution of building components and materials,"Emit less than 0,001 mg of other categories 1A and 1B carcinogenic volatile organic compounds per m³ of material or component"
EU Taxonomy Assessment,"F41.1, F41.2, F43",Construction & Real Estate,Construction of new buildings,CCA/CCM & DNSH,Pollution of building components and materials,"Emit less than 0,06 mg of formaldehyde per m³ of material or component"
EU Taxonomy Assessment,"F41.1, F41.2, F43",Construction & Real Estate,Construction of new buildings,CCA/CCM & DNSH,Pollution prevention,Appendix C
EU Taxonomy Assessment,"F41.1, F41.2, F43",Construction & Real Estate,Construction of new buildings,CCM & SCC,Size (Building Size),Larger than 5000m2
EU Taxonomy Assessment,"F41.1, F41.2, F43",Construction & Real Estate,Construction of new buildings,CCM & SCC,Testing (Quality Testing),Testing for air-tightness and thermal integrity performed
EU Taxonomy Assessment,"F41.1, F41.2, F43",Construction & Real Estate,Construction of new buildings,CCA/CCM & DNSH,Waste generation,Limit waste generation
EU Taxonomy Assessment,"F41.1, F41.2, F43",Construction & Real Estate,Construction of new buildings,CCA/CCM & DNSH,Waste handling,Specific criteria (Taking best available techniques into account and using selective demolition to enable removal and safe handling of hazardous substances and facilitate reuse and high-quality recycling)
EU Taxonomy Assessment,"F41.1, F41.2, F43",Construction & Real Estate,Construction of new buildings,CCA/CCM & DNSH,Waste recycling,"At least 70 % of the waste genereted on the construction site is prepared for reuse, recycling and other material recovery"
EU Taxonomy Assessment,"F41.1, F41.2, F43",Construction & Real Estate,Construction of new buildings,CCA/CCM & DNSH,Water,Appendix B
EU Taxonomy Assessment,"F41.1, F41.2, F43",Construction & Real Estate,Construction of new buildings,CCA/CCM & DNSH,Water ,Appendix E
EU Taxonomy Assessment,"F41.1, F41.2, F43",Construction & Real Estate,Construction of new buildings,CCA/CCM & DNSH,Water appliances,Specified water use attest
EU Taxonomy Assessment,"F41.1, F41.2, F43",Construction & Real Estate,Construction of new buildings,CCA/CCM & DNSH,Water appliances,Technical specifications
EU Taxonomy Assessment,"F41, F43",Construction & Real Estate,Renovation of existing buildings,CCM & SCC,Energy demand (PED),PED reduction of at least 30%
EU Taxonomy Assessment,"F41, F43",Construction & Real Estate,Renovation of existing buildings,CCA/CCM & DNSH,Water appliances,Water appliance installation
EU Taxonomy Assessment,"F42, F43, M71, C16, C17, C22, C23, C25, C27, C28, S95.21, S95.22, C33.12",Construction & Real Estate,"Installation, maintenance and repair of energy efficiency equipment",CCM & SCC,Activity description (Activity Type),Activity consists of a specified renovation activity in the DA
EU Taxonomy Assessment,"F42, F43, M71, C16, C17, C22, C23, C25, C27, C28, S95.21, S95.22, C33.12",Construction & Real Estate,"Installation, maintenance and repair of energy efficiency equipment",CCM & SCC,Activity requirements (Component and system requirement),Comply with minimum requirements set for individual components and systems
EU Taxonomy Assessment,"F42, F43, M71, C16, C17, C22, C23, C25, C27, C28, S95.21, S95.22, C33.12",Construction & Real Estate,"Installation, maintenance and repair of energy efficiency equipment",CCM & SCC,Energy efficiency level,Rated in the top 2 categories
EU Taxonomy Assessment,"F42, F43, M71, C16, C17, C22, C23, C25, C27, C28, S95.21, S95.22, C33.12",Construction & Real Estate,"Installation, maintenance and repair of energy efficiency equipment",CCA/CCM & DNSH,Thermal insulation,Specific requirements for adding thermal insulation to an existing building envelop
EU Taxonomy Assessment,L68,Construction & Real Estate,Acquisition and ownership of buildings,CCM & SCC,Building type,"Residential, non-residential, and large non-residential buildings"
EU Taxonomy Assessment,L68,Construction & Real Estate,Acquisition and ownership of buildings,CCM & SCC,Building year,Built before/after 31. dec 2020
EU Taxonomy Assessment,"F41, F43",Construction & Real Estate,Renovation of existing buildings,CCM & SCC,Activity requirements,Major rennovation requirements 
EU Taxonomy Assessment,"F41, F43",Construction & Real Estate,Renovation of existing buildings,CCM & DNSH,Climate Adaptation,Appendix A
EU Taxonomy Assessment,"F41, F43",Construction & Real Estate,Renovation of existing buildings,CCA/CCM & DNSH,Building type,Residential building or not
EU Taxonomy Assessment,"F41, F43",Construction & Real Estate,Renovation of existing buildings,CCA/CCM & DNSH,Water  ,Appendix E
EU Taxonomy Assessment,"F41, F43",Construction & Real Estate,Renovation of existing buildings,CCA/CCM & DNSH,Waste rycycling,"At least 70 % of the waste genereted on the construction site is prepared for reuse, recycling and other material recovery"
EU Taxonomy Assessment,"F41, F43",Construction & Real Estate,Renovation of existing buildings,CCA/CCM & DNSH,Waste generation,Limit waste generation
EU Taxonomy Assessment,"F41, F43",Construction & Real Estate,Renovation of existing buildings,CCA/CCM & DNSH,Waste handling,Specific criteria
EU Taxonomy Assessment,"F41, F43",Construction & Real Estate,Renovation of existing buildings,CCA/CCM & DNSH,Building deisgn and construction techniques,Specific criteria
EU Taxonomy Assessment,"F41, F43",Construction & Real Estate,Renovation of existing buildings,CCA/CCM & DNSH,Pollution prevention,Appendix C
EU Taxonomy Assessment,"F41, F43",Construction & Real Estate,Renovation of existing buildings,CCA/CCM & DNSH,Pollution of building components and materials,"Emit less than 0,06 mg of formaldehyde per m³ of material or component"
EU Taxonomy Assessment,"F41, F43",Construction & Real Estate,Renovation of existing buildings,CCA/CCM & DNSH,Pollution of building components and materials,"Emit less than 0,001 mg of other categories 1A and 1B carcinogenic volatile organic compounds per m³ of material or component"
EU Taxonomy Assessment,"F41, F43",Construction & Real Estate,Renovation of existing buildings,CCA/CCM & DNSH,Emission measures,Measures are taken to reduce emissions
EU Taxonomy Assessment,"F41, F43",Construction & Real Estate,Renovation of existing buildings,CCA & DNSH,Building use,"Not dedicated to extraction, storage, transport or manufacture of fossil fuels"
EU Taxonomy Assessment,"F41, F43",Construction & Real Estate,Renovation of existing buildings,CCA & SCC,Climate Adaptation,Generic Values
EU Taxonomy Assessment,"F42, F43, M71, C16, C17, C22, C23, C25, C27, C28, S95.21, S95.22, C33.12",Construction & Real Estate,"Installation, maintenance and repair of energy efficiency equipment",CCM & DNSH,Water,Appendix E
EU Taxonomy Assessment,"F42, F43, M71, C16, C17, C22, C23, C25, C27, C28, S95.21, S95.22, C33.12",Construction & Real Estate,"Installation, maintenance and repair of energy efficiency equipment",CCM & DNSH,Climate Adaptation,Appendix A
EU Taxonomy Assessment,"F42, F43, M71, C16, C17, C22, C23, C25, C27, C28, S95.21, S95.22, C33.12",Construction & Real Estate,"Installation, maintenance and repair of energy efficiency equipment",CCA/CCM & DNSH,Pollution prevention,Appendix C
EU Taxonomy Assessment,"F42, F43, M71, C16, C17, C22, C23, C25, C27, C28, S95.21, S95.22, C33.12",Construction & Real Estate,"Installation, maintenance and repair of energy efficiency equipment",CCA & SCC,Climate Adaptation,Generic Values
EU Taxonomy Assessment,"F42, F43, M71, C16, C17, C22, C23, C25, C27, C28, S95.21, S95.22, C33.12",Construction & Real Estate,"Installation, maintenance and repair of energy efficiency equipment",CCA & DNSH,Building use,"Not dedicated to extraction, storage, transport or manufacture of fossil fuels"
EU Taxonomy Assessment,"F42, F43, M71, C16, C17, C22, C23, C25, C27, C28",Construction & Real Estate,"Installation, maintenance and repair of charging stations for electric vehicles in buildings (and parking spaces attached to buildings)",CCM & SCC,Activity description,"Installation, maintenance or repair of charging stations for electric vehicles."
EU Taxonomy Assessment,"F42, F43, M71, C16, C17, C22, C23, C25, C27, C28",Construction & Real Estate,"Installation, maintenance and repair of charging stations for electric vehicles in buildings (and parking spaces attached to buildings)",CCM & DNSH,Climate Adaptation,Appendix A
EU Taxonomy Assessment,"F42, F43, M71, C16, C17, C22, C23, C25, C27, C28",Construction & Real Estate,"Installation, maintenance and repair of charging stations for electric vehicles in buildings (and parking spaces attached to buildings)",CCA & DNSH,Building use,"Not dedicated to extraction, storage, transport or manufacture of fossil fuels"
EU Taxonomy Assessment,"F42, F43, M71, C16, C17, C22, C23, C25, C27, C28",Construction & Real Estate,"Installation, maintenance and repair of charging stations for electric vehicles in buildings (and parking spaces attached to buildings)",CCA & SCC,Climate Adaptation,Generic Values
EU Taxonomy Assessment,"F42, F43, M71, C16, C17, C22, C23, C25, C27, C28",Construction & Real Estate,"Installation, maintenance and repair of instruments and devices for measuring, regulation and controlling energy performance of buildings",CCM & SCC,Activity description,Activity consists of a specified energy performance activity in the DA
EU Taxonomy Assessment,"F42, F43, M71, C16, C17, C22, C23, C25, C27, C28",Construction & Real Estate,"Installation, maintenance and repair of instruments and devices for measuring, regulation and controlling energy performance of buildings",CCM & DNSH,Climate Adaptation,Appendix A
EU Taxonomy Assessment,"F42, F43, M71, C16, C17, C22, C23, C25, C27, C28",Construction & Real Estate,"Installation, maintenance and repair of instruments and devices for measuring, regulation and controlling energy performance of buildings",CCA & SCC,Climate Adaptation,Generic Values
EU Taxonomy Assessment,"F42, F43, M71, C16, C17, C22, C23, C25, C27, C28",Construction & Real Estate,"Installation, maintenance and repair of instruments and devices for measuring, regulation and controlling energy performance of buildings",CCA & DNSH,Building use,"Not dedicated to extraction, storage, transport or manufacture of fossil fuels"
EU Taxonomy Assessment,"F42, F43, M71, C16, C17, C22, C23, C25, C27, C28",Construction & Real Estate,"Installation, maintenance and repair of renewable energy technologies",CCM & SCC,Activity description,Activity consists of a specified renewable energy technologies activity in the DA
EU Taxonomy Assessment,"F42, F43, M71, C16, C17, C22, C23, C25, C27, C28",Construction & Real Estate,"Installation, maintenance and repair of renewable energy technologies",CCM & DNSH,Climate Adaptation,Appendix A
EU Taxonomy Assessment,"F42, F43, M71, C16, C17, C22, C23, C25, C27, C28",Construction & Real Estate,"Installation, maintenance and repair of renewable energy technologies",CCA & SCC,Climate Adaptation,Generic Values
EU Taxonomy Assessment,"F42, F43, M71, C16, C17, C22, C23, C25, C27, C28",Construction & Real Estate,"Installation, maintenance and repair of renewable energy technologies",CCA & DNSH,Building use,"Not dedicated to extraction, storage, transport or manufacture of fossil fuels"
EU Taxonomy Assessment,L68,Construction & Real Estate,Acquisition and ownership of buildings,CCM & SCC,EPC,Energy performane certification
EU Taxonomy Assessment,L68,Construction & Real Estate,Acquisition and ownership of buildings,CCM & SCC,Building ranking,Within the top 15% of the national or regional building stock expressed as operational Primary Energy Demand (PED)
EU Taxonomy Assessment,L68,Construction & Real Estate,Acquisition and ownership of buildings,CCM & SCC,Building characteristics,Building meets criteria in Section 7.1 of this Annex
EU Taxonomy Assessment,L68,Construction & Real Estate,Acquisition and ownership of buildings,CCM & SCC,Energy monitoring,Energy performance monitoring and assessment
EU Taxonomy Assessment,L68,Construction & Real Estate,Acquisition and ownership of buildings,CCM & DNSH,Climate Adaptation,Appendix A
EU Taxonomy Assessment,L68,Construction & Real Estate,Acquisition and ownership of buildings,CCA & SCC,Climate Adaptation,Generic Values
EU Taxonomy Assessment,L68,Construction & Real Estate,Acquisition and ownership of buildings,CCA & DNSH,Building use,"Not dedicated to extraction, storage, transport or manufacture of fossil fuels"
EU Taxonomy Assessment,L68,Construction & Real Estate,Acquisition and ownership of buildings,CCA & DNSH,EPC,Energy performane certification
EU Taxonomy Assessment,L68,Construction & Real Estate,Acquisition and ownership of buildings,CCA & DNSH,Building ranking,Within the top 30% of the national or regional building stock expressed as operational Primary Energy Demand (PED)
EU Taxonomy Assessment,L68,Construction & Real Estate,Acquisition and ownership of buildings,CCA & DNSH,Energy demand (PED),PED do not exceed the threshold in nearly zero-energy building
EU Taxonomy Assessment,K65.12,Finance & Insurance,Non-life insurance: underwriting of climate-related perils,CCA & SCC,Insurance odelling techniques,"State-of-the-art modelling techniques which reflects climate change risks, not only relies on historical trends and integrate forward-looking scenarios"
EU Taxonomy Assessment,K65.12,Finance & Insurance,Non-life insurance: underwriting of climate-related perils,CCA & SCC,Insurance type,Public disclosure of how climate change risks are considered in the insurance activity
EU Taxonomy Assessment,K65.12,Finance & Insurance,Non-life insurance: underwriting of climate-related perils,CCA & SCC,Insurance conditions,Condition for the insurance coverage of risk
EU Taxonomy Assessment,K65.12,Finance & Insurance,Non-life insurance: underwriting of climate-related perils,CCA & SCC,Insurance coverage renewal or maintenance,Information from insurer on conditions where insurance activity coverage could be renewed or maintained.
EU Taxonomy Assessment,K65.12,Finance & Insurance,Non-life insurance: underwriting of climate-related perils,CCA & SCC,Risk-based reward products,Insurance activity products offer risk-based rewards for preventive actions taken by policyholders.
EU Taxonomy Assessment,K65.12,Finance & Insurance,Non-life insurance: underwriting of climate-related perils,CCA & SCC,Policyholder information measures,Distribution strategy covering measures ensuring information to policyholders on relevance of preventive measures.
EU Taxonomy Assessment,K65.12,Finance & Insurance,Non-life insurance: underwriting of climate-related perils,CCA & SCC,Coverage offer,Insurance coverage of climate-related perils based on policyholders requirements.
EU Taxonomy Assessment,K65.12,Finance & Insurance,Non-life insurance: underwriting of climate-related perils,CCA & SCC,Specific risk transfer solution,Specific risk transfer solution depending on customer demands and needs
EU Taxonomy Assessment,K65.12,Finance & Insurance,Non-life insurance: underwriting of climate-related perils,CCA & SCC,Data sharing of activites,"Insurer’s activity loss data is made available, free of charge, to public authorities for analytical research."
EU Taxonomy Assessment,K65.12,Finance & Insurance,Non-life insurance: underwriting of climate-related perils,CCA & SCC,Standards for claims,"Claims are processed fairly to customers, in line with high handling standards and timely within the law."
EU Taxonomy Assessment,K65.12,Finance & Insurance,Non-life insurance: underwriting of climate-related perils,CCA & DNSH,Climate Mitigation,The activity does not include insurance of fossil fuels activities or assets dedicated to such purposes.
EU Taxonomy Assessment,K65.20,Finance & Insurance,Reinsurance,CCA & SCC,Reinsurance modelling techniques,"State-of-the-art modelling techniques which properly reflects premium level and protection actions, do not rely on historical events and integrate forward-looking scenarios."
EU Taxonomy Assessment,K65.20,Finance & Insurance,Reinsurance,CCA & SCC,Disclosure of climate-related perils,Public disclosure how risks from climate-related perils are considered in the reinsurance activity
EU Taxonomy Assessment,K65.20,Finance & Insurance,Reinsurance,CCA & SCC,Reinsurance compliance Criteria,Engagement between reinsurer and insurer on possible reinsurance solutions 
EU Taxonomy Assessment,K65.20,Finance & Insurance,Reinsurance,CCA & SCC,Reinsurance compliance Criteria,Engagement between reinsurer and insurer on technical advice for insurer to price the coverage for risks
EU Taxonomy Assessment,K65.20,Finance & Insurance,Reinsurance,CCA & SCC,Coverage offer,Offer coverage for climate-related perils when demanded and needed by insurer’s clients
EU Taxonomy Assessment,K65.20,Finance & Insurance,Reinsurance,CCA & SCC,Specific risk transfer solution,Specific risk transfer solution depending on customer demands and needs
EU Taxonomy Assessment,K65.20,Finance & Insurance,Reinsurance,CCA & SCC,Data sharing of activites,"Insurer’s activity loss data is made available, free of charge, to public authorities for analytical research."
EU Taxonomy Assessment,K65.20,Finance & Insurance,Reinsurance,CCA & SCC,Standards for claims,"Claims are processed fairly to customers, in line with high handling standards and timely within the law."
EU Taxonomy Assessment,K65.20,Finance & Insurance,Reinsurance,CCA & DNSH,Climate Mitigation,The reinsurance activity does not cover cession of insurance of fossil fuels activities or assets dedicated to such purposes.
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Duration of afforestation plan ,Duration of at least five years or the minimum period prescribed in national law
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Forest Definition,Forest Defintion
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Start date,Start date
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Time for development of afforestation plan,Developed prior to the start and continuosly updated
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Requirements for afforestation plan,Requirements by the national law relating to enviromental impact assessment of afforestation 
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Requirements for afforestation plan,Activity complies with criteria 
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Information requirements,Requirements for detailed information in afforestation plan
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Information requirements,Impact on pre-existing carbon stocks
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Duration of forest management plan,Duration of at least 10 years
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Content requirements,Specific information requirements
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Activity requirements,Complies with best afforestation practices in national law
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Activity requirements,Complies with regulation
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Activity requirements,Complies with UNFCCC guidelines
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Activity requirements,No degradation of land with high carbon stock
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Activity requirements,Complies with dd. obligation and legality requirements
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Validation,Provide monitoring that ensures correctness of the information in the plan
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Compliant with requirements ,Specific requirements at forest sourcing area level
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Baseline of GHG emissions,Baseline of GHG emissions
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Net balance of GHG emissions and removals,Net balance of GHG is lower than a baseline over a period of 30 years
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Alignment with Directive,Considerations of long-term climate benefits
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Long-term net balance of GHG emisssions,Long-term net balance of GHG emissions are lower than the baseline
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Analysis requirements,Analysis complient with guidelines
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Requirements for calculation,Specific calculaton criterias
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Forest holding size,Under 13ha 
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Forest status of the area,"Classified in the permanent forest estate, classified as a protected area, or is subject to a guarantee ensuring it will remain a forest"
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Requirements for the activity operator,Specific operator requirements
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Thirdparty validation,Within two years after the beginning of the activity and every 10 years thereafter
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Verification subjects,"Relevant national competent authorities, or independent third-party certifier"
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Compliance assessment,Specific criteria for group assessment
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Subject area,Area that are subject to a forest management plan or an equivalent
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Start date,Start date
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Duration of forest management plan,Period of at least 10 years or more
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Content requirements,Specific information requirements
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Sustainable forest management requirements,Compliance with national definition of sustainable forest management
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Sustainable forest management requirements,Compliance with Forest Europe definition of sustainable forest amangement and guidelines
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Sustainable forest management requirements,Compliance with forest sustainability criterias
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Activity requirements,No degradation of land with high carbon stock
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Activity requirements,Compliance with dd. obligation and legality requirements
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Compliant with requirements ,Specific requirements at forest sourcing area level
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Baseline of GHG emissions,Baseline of GHG emissions
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Net balance of GHG emissions,Net balance of GHG is lower than a baseline over a period of 30 years
EU Taxonomy Exposure,N/A,N/A,N/A,N/A,Alignment with Directive,Considerations of long-term climate benefits
